region,collection_week,group,counts,location_counts,percent
North America,2020-09-14,B.1.370,8,562,0.014234875444839857
North America,2020-09-14,B.1.5,12,562,0.021352313167259787
North America,2020-09-21,B.1,50,344,0.14534883720930233
North America,2020-09-21,B.1.1,18,344,0.05232558139534884
North America,2020-09-21,B.1.1.135,1,344,0.0029069767441860465
North America,2020-09-21,B.1.1.161,1,344,0.0029069767441860465
North America,2020-09-21,B.1.1.186,1,344,0.0029069767441860465
North America,2020-09-21,B.1.1.192,2,344,0.005813953488372093
North America,2020-09-21,B.1.1.205,1,344,0.0029069767441860465
North America,2020-09-21,B.1.1.207,3,344,0.00872093023255814
North America,2020-09-21,B.1.1.222,1,344,0.0029069767441860465
North America,2020-09-21,B.1.1.251,3,344,0.00872093023255814
North America,2020-09-21,B.1.1.291,3,344,0.00872093023255814
North America,2020-09-21,B.1.1.67,1,344,0.0029069767441860465
North America,2020-09-21,B.1.1.73,3,344,0.00872093023255814
North America,2020-09-21,B.1.139,13,344,0.0377906976744186
North America,2020-09-21,B.1.177,1,344,0.0029069767441860465
North America,2020-09-21,B.1.199,1,344,0.0029069767441860465
North America,2020-09-21,B.1.2,109,344,0.3168604651162791
North America,2020-09-21,B.1.216,1,344,0.0029069767441860465
North America,2020-09-21,B.1.230,2,344,0.005813953488372093
North America,2020-09-21,B.1.234,6,344,0.01744186046511628
North America,2020-09-21,B.1.239,1,344,0.0029069767441860465
North America,2020-09-21,B.1.240,4,344,0.011627906976744186
North America,2020-09-21,B.1.243,11,344,0.03197674418604651
North America,2020-09-21,B.1.265,1,344,0.0029069767441860465
North America,2020-09-21,B.1.280,31,344,0.09011627906976744
North America,2020-09-21,B.1.3,7,344,0.020348837209302327
North America,2020-09-21,B.1.311,2,344,0.005813953488372093
North America,2020-09-21,B.1.324,1,344,0.0029069767441860465
North America,2020-09-21,B.1.337,8,344,0.023255813953488372
North America,2020-09-21,B.1.340,1,344,0.0029069767441860465
North America,2020-09-21,B.1.346,3,344,0.00872093023255814
North America,2020-09-21,B.1.361,12,344,0.03488372093023256
North America,2020-09-21,B.1.365,1,344,0.0029069767441860465
North America,2020-09-21,B.1.369,26,344,0.0755813953488372
North America,2020-09-21,B.1.370,4,344,0.011627906976744186
North America,2020-09-21,B.1.5,10,344,0.029069767441860465
North America,2020-09-28,B.1,57,526,0.10836501901140684
North America,2020-09-28,B.1.1,23,526,0.043726235741444866
North America,2020-09-28,B.1.1.1,2,526,0.0038022813688212928
North America,2020-09-28,B.1.1.10,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.125,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.180,2,526,0.0038022813688212928
North America,2020-09-28,B.1.1.192,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.205,1,526,0.0019011406844106464
