region_pattern,country_pattern,division_pattern,location_pattern,out_region,out_country,out_division,out_location,comment
,Belgium,Gembloux|Beuzet|Bossiere|Bothey|Corroy-le-Chateau|Ernage|Grand-Leez|Grand-Manil|Isnes|Lonzee|Mazy|Sauveniere,,,,Namur,Gembloux,
,Belgium,Havelange,,,,Namur,Havelange,
,Belgium,Namur|Beez|Belgrade|Saint-Servais|Saint-Marc|Bouge|Champion|Daussoulx|Flawinne|Malonne|Suarlee|Temploux|Vedrin|Boninne|Cognelee|Gelbressee|Marche-les-Dames|Dave|Jambes|Naninne|Wepion|Wierde|Erpent|Lives-sur-Meuse|Loyers,,,,Namur,Namur,
,Belgium,Brabant Wallon,,,,Walloon Brabant,,
,Belgium,Braine-l alleud|Braine-l'alleud|Braine-L'Alleud|Ophain-Bois-Seigneur-Isaac|Lillois-Witterzée|Lillois-witterzée,,,,Walloon Brabant,Braine-l'Alleud,
,Belgium,Braine-le-Chateau,,,,Walloon Brabant,Braine-le-Château,
,Belgium,Genappe,,,,Walloon Brabant,Genappe,
,Belgium,Lasne,,,,Walloon Brabant,Lasne,
,Belgium,Rebecq|Bierghes|Bierk|Rebecq-Rognon|Roosbeek|Quenast|Kenast,,,,Walloon Brabant,Rebecq,
,Belgium,Rixensart|Rosieres|Rozieren|Genval,,,,Walloon Brabant,Rixensart,
,Belgium,Tubize,,,,Walloon Brabant,Tubize,
,Belgium,Waterloo,,,,Walloon Brabant,Waterloo,
,Belgium,Anderlecht,,,,Brussels-Capital Region,Anderlecht,
,Belgium,Brussel|Brussels|Laken|Bruxelles,,,,Brussels-Capital Region,Brussels,
,Belgium,Elsene|Ixelles,,,,Brussels-Capital Region,Ixelles,
,Belgium,Etterbeek,,,,Brussels-Capital Region,Etterbeek,
,Belgium,Vorst,,,,Brussels-Capital Region,Forest,
,Belgium,Ganshoren,,,,Brussels-Capital Region,Ganshoren,
,Belgium,Jette,,,,Brussels-Capital Region,Jette,
,Belgium,Oudergem,,,,Brussels-Capital Region,Auderghem,
,Belgium,Molenbeek-Saint-Jean|Sint-Jans-Molenbeek|Molenbeek,,,,Brussels-Capital Region,Molenbeek-Saint-Jean,
,Belgium,Sint-Agatha-Berchem,,,,Brussels-Capital Region,Sint-Agatha-Berchem,
,Belgium,Ukkel,,,,Brussels-Capital Region,Uccle,
,Belgium,Watermaal-Bosvoorde,,,,Brussels-Capital Region,Watermael-Boitsfort,
,Belgium,Sint-Pieter-Woluwe|Sint-Pieters-Woluwe|Sint-pieters-woluwe,,,,Brussels-Capital Region,Woluwe-Saint-Pierre,
,Belgium,Mepel,,,,-1,,Can't find a division for this location
,Bosnia and Hercegovina,,,,Bosnia and Herzegovina,,,Fix typos
,Croatia,Varazdin,,,,Varaždin County,,Fix typos
,Czech Republic|Czech Repubic,,,,Czechia,,,Rename from "Czech Republic" --> "Czechia"
,Czechia,Prague,,,,Central Czechia and Prague,,Move "Prague" --> "Central Czhechia and Prague"
,Czechia,Vysocina Region,,,,Vysocina,,Fix typos
,Czechia,Plzen,,,,Plzeň,,
,Czechia,Usti nad Labem Region,,,,Usti nad Labem,,
,Belgium,Saint-Saulve,,,France,Hauts-de-France,,"Move Saint-Saulve from Belgium to France"
,Belgium,Roucourt,,,France,Hauts-de-France,,"Move Roucourt from belgium to France"
,Belgium,Flines-Les-Morta,,,France,Hauts-de-France,Flines-lès-Mortagne,"Move Flines-les-Mortagne (Flines-les-Morta) from Belgium into France"
,Denmark,NA,,,Denmark,-1,,"Remove NA province"
,France,Bourgogne Franche comte|Bourgogne-France-Comté|Bourgogne-Franche Comte|Bourgogne-France-Comte|Bourgogne,,,France,Bourgogne-Franche-Comté,,"Fix typos"
,France,ARA|Auvergne-Rhone-Alpes,,,,Auvergne-Rhône-Alpes,,"Unabbreviate province names, unify province names"
,France,Centre - Val de Loire|Centre Val de Loire,,,,Centre-Val de Loire,,
,France,Grand-Est|Grand-est,,,,Grand Est,,
,France,Hauts De France|Hauts de France,,,,Hauts-de-France,,
,France,IDF|Ile De France|Ile de France|Ile-de-France,,,,Île-de-France,,
,France,Toulouse,,,France,Occitanie,Toulouse,"Move Toulouse to Occitanie"
,France,,Chateau-Thierry|Chateau-thierry,,,,Château-Thierry,"Fix typos"
,France,,Crépy-en -Valois|Crépy en Valois,,,,Crépy-en-Valois,
,France,,Asnieres sur Seine,,,,Asnières-sur-Seine,
,France,,Moussy le Neuf,,,,Moussy Le Neuf,
,France,,Gondrecourt-le-chateau,,,,Gondrecourt-le-Chateau,
,France,,Compiegne,,,,Compiègne,
,France,Paris,,,,Île-de-France,Paris,"Move Paris into Ile-de-France"
,France,MP,,,France,Midi-Pyrénées,,
,France,PACA|Provence-Alpes-Cote d'Azur|Provence-Alpes-Cote-d’Azur|Provence-Alpes-Côte d'Azur,,,France,Provence-Alpes-Côte-d’Azur,,
# ,France,NA,,,France,Nouvelle-Aquitaine,,
Europe,Georgia,,,Asia,,,,Move to Asia
,Germany,Munich,,,,Bavaria,Munich,Move Munich division into Bavaria division
,Germany,Duesseldorf,,,,North Rhine-Westphalia,Duesseldorf,Move cities to provinces
,Germany,Frankfurt,,,,Hesse,Frankfurt,
,Germany,Rostock,,,,Mecklenburg-Vorpommern,Rostock,
,Germany,Baden-Wuerttemberg,,,,Baden-Württemberg,,Fix typos
,Germany,North Rhine Westphalia,,,,North Rhine-Westphalia,,
,Germany,North Rhine-Westphalia,Duesseldorf area|Duesseldorf,,,,Düsseldorf,
,Germany,North Rhine-Westphalia,Heinsberg District,,,,Heinsberg,
,Hungary,Borsod-Abauj-Zemplen county|Borsod-Abauj-Zemplen County,,,,Borsod-Abaúj-Zemplén County,,Fix typos
,Italy,Lombarida|Lombardia,,,,Lombardy,,Fix typos
,Italy,Castel di Sangro,,,,Abruzzo,Castel di Sangro,Move cities to provinces
,Italy,Teramo,,,,Abruzzo,Teramo,
,Italy,Cagliari,,,,Sardinia,Cagliari,
,Italy,Milan,,,,Lombardy,Milan,
,Italy,Palermo,,,,Sicily,Palermo,
,Italy,Rome,,,,Lazio,Rome,
,Lithuania,Vilnius r.,,,,Vilnius,,
,Netherlands,Coevorden|Dalen,,,,Drenthe,Coevorden,Move municipalities into provinces
,Netherlands,Drente,,,,Drenthe,,
,Netherlands,Zeewolde,,,,Flevoland,Zeewolde,
,Netherlands,Andel,,,,North Brabant,Altena,
,Netherlands,Berlicum,,,,North Brabant,Sint-Michielsgestel,
,Netherlands,Eindhoven,,,,North Brabant,Eindhoven,
,Netherlands,Helmond,,,,North Brabant,Helmond,
,Netherlands,Loon op zand,,,,North Brabant,Loop op Zand,
,Netherlands,Milheeze,,,,North Brabant,Milheeze,
,Netherlands,Oisterwijk,,,,North Brabant,Oisterwijk,
,Netherlands,Oss,,,,North Brabant,Oss,
,Netherlands,Tilburg,,,,North Brabant,Tilburg,
,Netherlands,Noord Brabant|NoordBrabant,,,,North Brabant,,
,Netherlands,Blaricum,,,,North Holland,Blaricum,
,Netherlands,Diemen,,,,North Holland,Diemen,
,Netherlands,Haarlem,,,,North Holland,Haarlem,
,Netherlands,Naarden,,,,North Holland,Gooise Meren,
,Netherlands,Noord Holland|NoordHolland,,,,North Holland,,
,Netherlands,Delft,,,,South Holland,Delft,
,Netherlands,Hardinxveld Giessendam,,,,South Holland,Hardinxveld-Giessendam,
,Netherlands,Leiden,,,,South Holland,Leiden,
,Netherlands,Nieuwendijk,,,,South Holland,Nieuwendijk,
,Netherlands,Nootdorp,,,,South Holland,Nootdorp,
,Netherlands,Rotterdam,,,,South Holland,Rotterdam,
,Netherlands,Zuid Holland|ZuidHolland,,,,South Holland,,
,Netherlands,Houten,,,,Utrecht,Houten,
,Norway,MoreogRomsdal,,,,More og Romsdal,,
,Norway,TromsogFinnmark,,,,Troms og Finnmark,,
,Norway,Trondelag,,,,Trøndelag,,
,Norway,Vestlandet,,,,Vestland,,
,Poland,Dolnoslakie|Dolnoslaskie,,,,Dolnośląskie,,Fix typos
,Poland,Pomorze|Pomerania,,,,Pomorskie,,Don't use anglicized names here
,Poland,Malopolska,,,,Malopolskie,,
,Poland,Wielkopolska,,,,Wielkopolskie,,
,Poland,Zielonogorskie,,,,Lubusz,,Zielonogorskie -> Lubusz
,Poland,,Krakow,,,,Kraków,Fix typos
,Poland,,Łódzkie,,,,Lodzkie,
,ÄéRomania|‎Romania,,,,Romania,,,Fix weird encoding issue
,Romania,Bucuresti,,,,Bucharest,,Anglicize
,Russia,Moscow,,,,Moscow Region,,Fix typos
,Russia,Saint-Petersburg|St. Petersburg|St.Petersburg,,,,Saint Petersburg,,
,Sweden,Andalusia,,,Spain,,,Move Andalusia from Sweden to Spain
,Spain,BasqueCountry|Basque_Country,,,,Basque Country,,"Fix typos, unify provinces/locations"
,Spain,Balear_Islands|Balear Islands|Illes Balears,,,,Balearic Islands,,
,Spain,Castilla La Mancha,,,,Castilla-La Mancha,,
,Spain,Castilla y Leon,,,,Castilla y León,,
,Spain,Catalunya,,,,Catalonia,,
,Spain,Comunitat_Valenciana,,,,Comunitat Valenciana,,
,Spain,Canary_Islands,,,,Canary Islands,,
,Spain,,Bonrepos_i_Mirambell,,,,Bonrepos i Mirambell,
,Spain,,Canet_d'En_Berenguer,,,,Canet d'En Berenguer,
,Spain,,El_Puig,,,,El Puig,
,Spain,,Grau_de_Sagunt,,,,Grau de Sagunt,
,Spain,,Palma_de_Gandia,,,,Palma de Gandia,
,Spain,,Tavernes_de_la_Valldigna,,,,Tavernes de la Valldigna,
,Spain,,Valencia_h|Valencia h,,,,Valencia,
,Spain,,Malaga_h|Malaga h,,,,Malaga,
,Spain,LaRioja|La_Rioja,,,,La Rioja,,
,Spain,Barcelona,,,,Catalonia,,"Barcelona -> Catalonia"
,Spain,,Alhaurin_de_la_Torre,,,,Alhaurin de la Torre,"Fix more typos"
,Spain,,Jerez_de_la_Frontera,,,,Jerez de la Frontera,
,Spain,,La_Linea,,,,La Linea,
,Spain,,Mairena_Aljarafe,,,,Mairena Aljarafe,
,Spain,,Puerto_Santa_Maria,,,,Puerto Santa Maria,
,Spain,,Rincon_de_la_Victoria,,,,Rincon de la Victoria,
,Spain,,San_Fernando,,,,San Fernando,
,Spain,,San_Roque,,,,San Roque,
,Spain,,Vitoria_h,,,,Vitoria,
,Spain,,Donostia-San_Sebastian,,,,Donostia-San Sebastian,
,Spain,,Simat_de_la_Valldigna,,,,Simat de la Valldigna,
,Spain,,Torres_de_Elorz,,,,Torres de Elorz,
,Spain,,Velez_Malaga,,,,Velez Malaga,
,Spain,,Rio_San_Pedro,,,,Rio San Pedro,
,Spain,Canary Islands,Las_Palmas|Las Palmas|Las_Palmas_de_Gran_Canaria,,,,Las Palmas de Gran Canaria,
,Spain,,La_Estrada,,,,La Estrada,
,Spain,,Santa_Comba,,,,Santa Comba,
,Spain,,Santiago_de_Compostela,,,,Santiago de Compostela,
,Spain,,LeganA(c)s,,,,Leganés,
,Spain,,Santa_Fe,,,,Santa Fe,
,Spain,,Campo_Real,,,,Campo Real,
,Spain,,Palma_de_Mallorca_h,,,,Palma de Mallorca,"More typos"
,Spain,,Santa_Maria_del_Camino,,,,Santa Maria del Camino,
,Spain,,Son_Servera,,,,Son Servera,
,Spain,,Logrono_h,,,,Logrono,
,Spain,,Barcelona_h|Barcelona h,,,,Barcelona,"More typos"
,Spain,,Badalona_h|Badalona h,,,,Badalona,
,Spain,,Alcala_de_Henares,,,,Alcala de Henares,
,Spain,,Arganda_del_Rey,,,,Arganda del Rey,
,Spain,Donostia-San Sebatian|Donostia-San Sebastian|Donostia-San Sebastián|San Sebatian|Donostia-San Sebastian,,,Spain,Basque Country,San Sebastian,"Move Donostia-San Sebastian into Basque Country"
,Spain,Andalucia,,,,Andalusia,,"Fix typos"
,Spain,Madrid,Alcala deenares,,,,Alcala de Henares
,Spain,Madrid,Arganda,,,,Arganda del Rey
,Sweden,Vasterbotten,,,,Västerbotten,,Fix typos
,Sweden,Gavleborgs lan,,,,Gavleborg,,
,Sweden,Orebro lan,,,,Orebro,,
,Sweden,Jamtland Harjedalen,,,,Jamtland,,
,Sweden,Västra Götaland,,,,Vastra Gotaland,,
,Switzerland,Basel|Basel Stadt,,,,Basel-Stadt,,"Fix typos"
,Switzerland,Basel-Land,,,,Basel-Landschaft,,
,Switzerland,Genève|Geneve,,,,Geneva,,
,Switzerland,Luzern,,,,Lucerne,,
,Switzerland,Argovie,,,,Aargau,,
,Switzerland,Zurich,,,,Zürich,,
,Switzerland,Graubunden,,,,Graubünden,,
,Switzerland,Sankt Gallen|St. Gallen,,,,St Gallen,,
,United Kingdom,,Northamtonshire,,,,Northamptonshire,Fix typos
,England,,,,United Kingdom,England,,Move England into UK
,Canada,MB,,,,Manitoba,,Unabbreviate province names
,Canada,NB,,,,New Brunswick,,
,Canada,NL,,,,Newfoundland and Labrador,,
,Canada,NS,,,,Nova Scotia,,
,Canada,SK,,,,Saskatchewan,,
,Canada,Toronto,,,,Ontario,Toronto,Toronto -> Ontario
,Mexico,CDMX,,,,Mexico City,,Unabbreviate province names
,Mexico,BC,,,,Baja California,,
,Mexico,BCS,,,,Baja California Sur,,
Noth America|North america,,,,North America,,,,Who misspelled north??
,United States,,,,USA,,,Merge with "United States"
USA,,,,North America,USA,,,Merge with USA region
,USA,District of Columbia,,,,Washington DC,,Unify with "District of Columbia"
,USA,Arizona,Maricopa county|Phoenix,,,,Maricopa County,Move Phoenix into Maricopa County
,USA,Califonia,,,,California,,Fix typos
,USA,California,Grand Princess|Grand Princess cruise ship,,,,Grand Princess Cruise Ship,Unify county names
,USA,California,San Diego,,,,San Diego County,
,USA,California,San Francisco,,,,San Francisco County,
,USA,California,Davis,,,,Yolo County,Davis -> Yolo County
,USA,California,Los Angeles|Los Angeles county,,,,Los Angeles County,LA -> LA County
,USA,Los Angeles,,,,California,Los Angeles County,Los Angeles division -> California
,USA,California,Alameda,,,,Alameda County,
,USA,California,Solano,,,,Solano County,
,USA,San Diego,,,,California,San Diego County,Move San Diego division into California
,USA,California,Imperial,,,,Imperial County,Imperial -> Imperial County
,USA,California,Marin county,,,,Marin County,Fix typos
,USA,California,San Diego county,,,,San Diego County,
,USA,California,Santa Clara county,,,,Santa Clara County,
,USA,California,Santa Barbara,,,,Santa Barbara County,
,USA,Grand Princess,,,USA,California,Grand Princess Cruise Ship,Move Grand Princess into California
,USA,Alameda County,,,USA,California,Alameda County,Move counties from USA into California
,USA,Imperial County,,,USA,California,Imperial County,
,USA,Kings County,,,USA,California,Kings County,
,USA,Lake County,,,USA,California,Lake County,
,USA,Los Angeles County,,,USA,California,Los Angeles County,
,USA,Madera County,,,USA,California,Madera County,
,USA,Marin County,,,USA,California,Marin County,
,USA,Merced County,,,USA,California,Merced County,
,USA,Sacramento County,,,USA,California,Sacramento County,
,USA,San Mateo County,,,USA,California,San Mateo County,
,USA,Santa Barbara County,,,USA,California,Santa Barbara County,
,USA,Solano County,,,USA,California,Solano County,
,USA,Tuolumne County,,,USA,California,Tuolumne County,
,USA,Wisconsin,Coloardo Springs,,,Colorado,Colorado Springs,Move Colorado Springs from Wisconsin to Colorado
,USA,Colorado,Colorado Springs,,,,El Paso County,Colorado Springs -> El Paso County
,USA,Colorado,Denver county,,,,Denver County,Fix typos
,USA,CT,,,,Connecticut,,CT --> Connecticut
,USA,Connecticut,Fairfield county|Fairfield|Greenwich|NEWTOWN|Newtown|Bridgeport|New Fairfield|Port Chester|Riverside|Shelton|Stratford|Trumbull,,,,Fairfield County,Move towns to counties
,USA,Connecticut,Bristol|Glastonbury|Manchester,,,,Hartford County,
,USA,Connecticut,Beacon Falls|BRANFORD|Branford|North-Branford|Bethany|Cheshire|East-Haven|East Haven|HAMDEN|Hamden|MADISON|Madison|MERIDEN|Meriden|Milford|NORTHFORD|Northford|New-Haven|New Haven|North-Haven|North Haven|Prospect|SEYMOUR|Seymour|Seymor|WALLINGFORD|Wallingford|Waterbury|WOODBRIDGE|Woodbridge|West-Haven|West Haven,,,,New Haven County,
,USA,Connecticut,Mount-Vernon,,,,Tolland County,
,USA,FLorida,,,,Florida,,Fix typos
,USA,Florida,Miami|Miami-dade county,,,,Miami-Dade County,
,USA,Florida,Palm Beach county,,,,Palm Beach County,
,USA,Illinois,Chicago|Cook county,,,,Cook County,Move Chicago -> Cook County
,USA,Illinois,Dupage county,,,,Dupage County,Fix typos
,USA,Illinois,Kane county,,,,Kane County,
,USA,Illinois,Lake county,,,,Lake County,
,USA,Illinois,Mchenry county|McHenry county,,,,McHenry County,
,USA,Illinois,Winnebago county,,,,Winnebago County,
,USA,Iowa,Jackson county,,,,Jackson County,Fix typos
,USA,LA,,,,Louisiana,,Assume LA is Louisiana and not Los Angeles
,USA,New Jersey,Hudson,,,,Hudson County,Fix typos
,USA,MD,,,,Maryland,,Fix typos
,USA,Massachusetts,Middlesex county,,,,Middlesex County,Fix typos
,USA,Massachusetts,Norfolk county,,,,Norfolk County,
,USA,Minnesota,Stearns county,,,,Stearns County,Fix typos
,USA,Minnesota,Houston county,,,,Houston County,
,USA,Missouri,Saint Louis county|St. Louis,,,,Saint Louis County,
,USA,Misssouri,,,,Missouri,,Fix typos
,USA,New Jersey,Bergen county,,,,Bergen County,Fix typos
,USA,New Jersey,Essex county,,,,Essex County,
,USA,NY,,,,New York,,"Assume NY is NY State"
,USA,New York City,,,,New York,New York City,"Move NYC division into NY State division"
,USA,New York County,,,,New York,New York City,
,USA,New York,New York,,,,-1,Remove redundant "New York"
,USA,New York,Bronx|Brooklyn|Manhattan|Queens|Staten Island|New York county,,,,New York City,
,USA,New York,Nassau|Nassau county,,,,Nassau County,Merge NYC boroughs into one NYC
,USA,New York,Rockland,,,,Rockland County,Unify county names
,USA,New York,Suffolk|Suffolk county,,,,Suffolk County,
,USA,New York,Westchester,,,,Westchester County,
,USA,New York,,,,,-1,Remove empty location
,USA,Nassau County,,,,New York,Nassau County,Move Nassau County into NY
,USA,,Yorktown Heights,,,New York,Westchester County,Move Yorktown Heights from CT into NY
,USA,New York,New Rochelle,,,,Westchester County,"Move towns into counties, fix typos"
,USA,New York,Onondaga county,,,,Onondaga County,
,USA,New York,Rockland county,,,,Rockland County,
,USA,New York,Westchester county,,,,Westchester County,
,USA,New York,Putnam county,,,,Putnam County,
,USA,Pennsylvania,Montgomery county,,,,Montgomery County,Fix typos
,USA,Pennsylvania,Pittsburgh|Allegheny county|Alleghany County,,,,Allegheny County,Pittsburgh -> Alleghany County
,USA,South Carolina,Richland,,,,Richland County,Fix typos
,USA,South Carolina,Fairfield,,,,Fairfield County,
,USA,South Carolina,Berkeley,,,,Berkeley County,
,USA,Texas,Cameron,,,,Cameron County,
,USA,Texas,El Paso,,,,El Paso County,
,USA,Texas,Harris,,,,Harris County,
,USA,Texas,Hidalgo,,,,Hidalgo County,
,USA,Texas,Houston,,,,Houston County,
,USA,VT,,,,Vermont,,VT -> Vermont
,USA,Washington,Unknown,,,,-1,Unknown -> -1
,USA,Washington,Kirkland|Seattle,,,,King County,Move towns into counties
,USA,Washington,Tacoma,,,,Pierce County,
,USA,Washington,Unknown County,,,,-1,Remove unknown county
,USA,Wisconsin,Campbellsp,,,,Campbellsport,
,USA,Wisconsin,Jackson,,,,Jackson County,Unify county names
,USA,Wisconsin,Bayside,,,,Milwaukee County,
,USA,Wisconsin,Belleville,,,,Dane County,"Move towns into counties. If a town straddles a county line, move into the one its in more, population-wise"
,USA,Wisconsin,Beloit,,,,Rock County,
,USA,Wisconsin,Blanchardville,,,,Lafayette County,
,USA,Wisconsin,Brookfield,,,,Waukesha County,
,USA,Wisconsin,Brooklyn,,,,Dane County,
,USA,Wisconsin,Brown Deer,,,,Milwaukee County,
,USA,Wisconsin,Cambridge,,,,Dane County,
,USA,Wisconsin,Campbellsport,,,,Fond du Lac County,
,USA,Wisconsin,Chippewa Falls,,,,Chippewa County,
,USA,Wisconsin,Columbus,,,,Columbia County,
,USA,Wisconsin,Cottage Grove,,,,Dane County,
,USA,Wisconsin,Cross Plains,,,,Dane County,
,USA,Wisconsin,Cudahy,,,,Milwaukee County,
,USA,Wisconsin,DeForest,,,,Dane County,
,USA,Wisconsin,Elm Grove,,,,Waukesha County,
,USA,Wisconsin,Fitchburg,,,,Dane County,
,USA,Wisconsin,Fitchburg,,,,Dane County,
,USA,Wisconsin,Franklin,,,,Milwaukee County,Assume this Franklin is in milwaukee
,USA,Wisconsin,Glendale,,,,Milwaukee County,Just dump this all in Milwaukee
,USA,Wisconsin,Grafton,,,,Ozaukee County,
,USA,Wisconsin,Greater Milwaukee Area,,,,Milwaukee County,
,USA,Wisconsin,Greenfield,,,,Milwaukee County,
,USA,Wisconsin,Hartford,,,,Washington County,
,USA,Wisconsin,Hillpoint,,,,Sauk County,
,USA,Wisconsin,Holy Cross,,,,Ozaukee County,
,USA,Wisconsin,Janesville,,,,Rock County,
,USA,Wisconsin,Madison,,,,Dane County,
,USA,Wisconsin,Marshall,,,,Dane County,
,USA,Wisconsin,Mequon,,,,Ozaukee County,
,USA,Wisconsin,Middleton,,,,Dane County,
,USA,Wisconsin,Milwaukee,,,,Milwaukee County,
,USA,Wisconsin,Monona,,,,Dane County,
,USA,Wisconsin,Mount Horeb,,,,Dane County,
,USA,Wisconsin,Muscoda,,,,Grant County,
,USA,Wisconsin,New Berlin,,,,Waukesha County,
,USA,Wisconsin,Oak Creek,,,,Milwaukee County,
,USA,Wisconsin,Oregon,,,,Dane County,
,USA,Wisconsin,Pewaukee,,,,Waukesha County,
,USA,Wisconsin,Port Washi,,,,Ozaukee County,
,USA,Wisconsin,Racine,,,,Racine County,
,USA,Wisconsin,Richland Center,,,,Richland County,
,USA,Wisconsin,River Hills,,,,Milwaukee County,
,USA,Wisconsin,Saukville,,,,Ozaukee County,
,USA,Wisconsin,Slinger,,,,Washington County,
,USA,Wisconsin,South Milwaukee,,,,Milwaukee County,
,USA,Wisconsin,Spring Green,,,,Sauk County,
,USA,Wisconsin,Stoughton,,,,Dane County,
,USA,Wisconsin,Sun Prarie,,,,Dane County,
,USA,Wisconsin,Thiensvill,,,,Ozaukee County,
,USA,Wisconsin,Tomah,,,,Monroe County,
,USA,Wisconsin,Verona,,,,Dane County,
,USA,Wisconsin,Waunakee,,,,Dane County,
,USA,Wisconsin,Wauwatosa,,,,Milwaukee County,
,USA,Wisconsin,Whitefish,,,,Milwaukee County,
,USA,Wisconsin,Ozaukee county,,,,Ozaukee County,Fix typos
,USA,Wisconsin,Rock county,,,,Rock County,
,USA,Wisconsin,Lafayette county,,,,Lafayette County,
,USA,Wisconsin,Columbia county,,,,Columbia County,
,USA,Wisconsin,Fond du Lac county|Fond du lac County,,,,Fond du Lac County,
,USA,Wisconsin,Jefferson county,,,,Jefferson County,
,USA,Wisconsin,Milwaukee county,,,,Milwaukee County,
,USA,Wisconsin,Washington county,,,,Washington County,
,USA,Wisconsin,Waukesha county,,,,Waukesha County,
,USA,Wisconsin,Brown county,,,,Brown County,
,USA,Wisconsin,Dane county,,,,Dane County,
,USA,Wisconsin,Dodge county,,,,Dodge County,
,USA,Wisconsin,Door county,,,,Door County,
,USA,Wisconsin,Jackson county,,,,Jackson County,
,USA,Wisconsin,Manitowoc county,,,,Manitowoc County,
,USA,Wisconsin,Outagamie county,,,,Outagamie County,
,USA,Wisconsin,Sauk county,,,,Sauk County,
,USA,Wisconsin,Sheboygan county,,,,Sheboygan County,
,USA,Wisconsin,Trempealeau county,,,,Trempealeau County,
,USA,Wisconsin,Vernon county,,,,Vernon County,
,USA,Wisconsin,Waupaca county,,,,Waupaca County,
,USA,Wisconsin,Winnebago county,,,,Winnebago County,
,USA,Wisconsin,Eau claire County,,,,Eau Claire County,
,USA,Wisconsin,Iowa county,,,,Iowa County,
,Reunion,,,Oceania,,,,Move to oceania
,Australia,NSW,,,,New South Wales,,"Fix typos, unabbreviate province names"
,Australia,Northern territory,,,,Northern Territory,,
,New Zealand,Combined Wellington,,,,Wellington,,Fix typos
,New Zealand,Counties Manukau,,,,Auckland,,
,Argentina,Ciudad Autonoma de Buenos Aires,,,,Buenos Aires,,Fix typos
,Brazil,Minas gerais,,,,Minas Gerais,,Fix typos
,Brazil,São Paulo,,,,Sao Paulo,,
,Brazil,,Sao Paulo,,,,-1,Remove redundant Sao Paolo location
,Brazil,,DUQUE DE CAXIAS,,,,Duque de Caxias,Fix more typos
,Brazil,,NITEROI,,,,Niteroi,
,Brazil,,NOVA IGUACU,,,,Nova Iguacu,
,Brazil,,PETROPOLIS,,,,Petropolis,
,Brazil,,QUEIMADOS,,,,Queimados,
,Brazil,,RIO DE JANEIRO,,,,Rio de Janeiro,
,Brazil,Amazonas,,,,Amazonas State,,
,Brazil,Ceara,,,,Ceará,,
,Brazil,Goiais,,,,Goiás,,
,Brazil,Maranhao,,,,Maranhão,,
,Brazil,Parana,,,,Paraná,,
,Colombia,Norte de santander,,,,Norte de Santander,,Fix more typos
,Colombia,,Cúcuta,,,,Cucuta,
,Colombia,,El cerrito,,,,El Cerrito,
,Colombia,Armenia,,,,Quindio,Armenia,"Clean up, move cities to departments"
,Colombia,Barrancabermeja,,,,Santander,Barrancabermeja,
,Colombia,Barranquilla,,,,Atlantico,Barranquilla,
,Colombia,Bello,,,,Antioquia,Bello,
,Colombia,Bucaramanga,,,,Santander,Bucaramanga,
,Colombia,Cali,,,,Valle del Cauca,Cali,
,Colombia,Cartagena,,,,Bolivar,Cartagena,
,Colombia,Cartago,,,,Valle del Cauca,Cartago,
,Colombia,Cienaga,,,,Magdalena,Cienaga,
,Colombia,Cucuta,,,,Norte de Santander,Cucuta,
,Colombia,Ibague,,,,Tolima,Ibague,
,Colombia,Leticia,,,,Amazonas,Leticia,
,Colombia,Manizales,,,,Caldas,Manizales,
,Colombia,Medellin,,,,Antioquia,Medellin,
,Colombia,Palmira,,,,Valle del Cauca,Palmira,
,Colombia,Pereira,,,,Risaralda,Pereira,
,Colombia,Popayan,,,,Cauca,Popayan,
,Colombia,Santa Marta,,,,Magdalena,Santa Marta,
,Colombia,Tumaco,,,,Narino,Tumaco,
,Colombia,Villavicencio,,,,Meta,Villavicencio,
Central America,,,,North America,,,,Move to North America
